method,endpoint,source_file,handler,should_write_db,should_write_reason,writes_db_detected,writes_db_reason,gap
DELETE,/api/location/geofences/{geofenceId},other_functions_sync_router.py,delete_location_geofence,True,method_requires_mutation,False,,True
POST,/api/location/movement-history/update,other_functions_sync_router.py,update_movement_history,True,post_mutation_keyword,False,,True
POST,/api/location/status/update,other_functions_sync_router.py,update_location_status,True,post_mutation_keyword,False,,True
POST,/api/metrics/upload,metrics_router.py,upload_metrics,False,post_non_mutation_semantics,False,,False
PATCH,/api/network-protection/settings,app/routers/network_protection_compat.py,patch_network_protection_settings,True,method_requires_mutation,False,,True
POST,/api/notifications/archive/{notification_id},notifications_router_extended.py,archive_notification,True,post_default_mutation_policy,False,,True
POST,/api/notifications/bulk_mark_read,notifications_router_extended.py,bulk_mark_read,True,post_default_mutation_policy,False,,True
POST,/api/notifications/clear_all,notifications_router_extended.py,clear_all_notifications,True,post_default_mutation_policy,False,,True
POST,/api/notifications/delete/{notification_id},notifications_router_extended.py,delete_notification,True,post_mutation_keyword,False,,True
POST,/api/notifications/mark_read/{notification_id},notifications_router_extended.py,mark_notification_read_by_id,True,post_default_mutation_policy,True,sql_mutation,False
PUT,/api/notifications/preferences,notifications_router_extended.py,update_notification_preferences,True,method_requires_mutation,False,,True
POST,/api/notifications/push/send,notifications_router_extended.py,send_push_notification,True,post_mutation_keyword,False,,True
POST,/api/notifications/read,notifications_router_extended.py,mark_notification_read,True,post_default_mutation_policy,False,,True
PUT,/api/notifications/settings,notifications_router_extended.py,update_notifications_settings,True,method_requires_mutation,False,,True
POST,/api/notifications/test,notifications_router_extended.py,send_test_notification,True,post_default_mutation_policy,False,,True
POST,/api/notifications/unarchive/{notification_id},notifications_router_extended.py,unarchive_notification,True,post_default_mutation_policy,False,,True
POST,/api/offline-storage/data/update,offline_storage_sync_router.py,update_offline_data,True,post_mutation_keyword,False,,True
DELETE,/api/offline-storage/data/{dataId},offline_storage_sync_router.py,delete_offline_data,True,method_requires_mutation,False,,True
POST,/api/offline-storage/resolve-conflicts,offline_storage_sync_router.py,resolve_offline_storage_conflicts,True,post_mutation_keyword,False,,True
POST,/api/offline-storage/sync,offline_storage_sync_router.py,sync_offline_storage,True,post_mutation_keyword,False,,True
POST,/api/parental-control/app-blocks/sync,parental_control_sync_router.py,sync_app_blocks,True,post_mutation_keyword,False,,True
POST,/api/parental-control/app-blocks/update,parental_control_sync_router.py,update_app_blocks,True,post_mutation_keyword,False,,True
POST,/api/parental-control/geofences/add,parental_control_sync_router.py,add_geofence,True,post_default_mutation_policy,False,,True
POST,/api/parental-control/geofences/update,parental_control_sync_router.py,update_geofence,True,post_mutation_keyword,False,,True
DELETE,/api/parental-control/geofences/{geofenceId},parental_control_sync_router.py,delete_geofence,True,method_requires_mutation,False,,True
POST,/api/parental-control/location/report,parental_control_router_updated.py,report_location,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/parental-control/schedules/delete,parental_control_sync_router.py,delete_schedule,True,post_mutation_keyword,False,,True
POST,/api/parental-control/schedules/update,parental_control_sync_router.py,update_schedule,True,post_mutation_keyword,False,,True
POST,/api/parental-control/settings/sync,parental_control_sync_router.py,sync_parental_control_settings,True,post_mutation_keyword,False,,True
POST,/api/parental-control/settings/update,parental_control_sync_router.py,update_parental_control_settings,True,post_mutation_keyword,False,,True
POST,/api/parental-control/time-limits/reset,parental_control_sync_router.py,reset_time_limits,True,post_mutation_keyword,False,,True
POST,/api/parental-control/time-limits/update,parental_control_sync_router.py,update_time_limits,True,post_mutation_keyword,False,,True
POST,/api/payments/confirm,app/routers/payments.py,confirm_payment,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/payments/create,app/routers/payments.py,create_payment,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/payments/qr/create,docs/server/server_snapshots/20260317_payments/payments.py,create_payment_qr,True,post_mutation_keyword,False,,True
POST,/api/payments/recover,app/routers/payments.py,recover_payment_code,True,post_mutation_keyword,True,execute,False
POST,/api/protection/disable,app/routers/protection.py,disable_protection_category,True,post_mutation_keyword,False,,True
POST,/api/protection/enable,app/routers/protection.py,enable_protection_category,True,post_mutation_keyword,False,,True
POST,/api/protection/settings,app/routers/protection.py,update_protection_settings,True,post_mutation_keyword,False,,True
POST,/api/protection/sync,app/routers/protection.py,sync_protection_settings,True,post_mutation_keyword,False,,True
POST,/api/referral/test/discount/apply,docs/server/referral_test_endpoints.py,test_apply_discount,True,post_mutation_keyword,False,,True
POST,/api/referral/test/payment/confirm,app/routers/referral_test.py,test_confirm_payment,True,post_mutation_keyword,False,,True
POST,/api/referral/test/payment/create,app/routers/referral_test.py,test_create_payment,True,post_mutation_keyword,False,,True
POST,/api/register,docs/server/REFERRAL_REGISTRATION_HANDLER.py,register_user,True,post_default_mutation_policy,True,commit,False
POST,/api/reports/ai-categories/allow,app/security/api/routers/ai_categories_router.py,allow_category,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/ai-categories/block,app/security/api/routers/ai_categories_router.py,block_category,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/dark-web/resolve,app/security/api/routers/dark_web_monitoring_router.py,resolve_leak,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/dark-web/scan/fast,app/security/api/routers/dark_web_monitoring_router.py,start_fast_scan,True,post_mutation_keyword,False,,True
POST,/api/reports/dark-web/scan/secure,app/security/api/routers/dark_web_monitoring_router.py,start_secure_scan,True,post_mutation_keyword,False,,True
POST,/api/reports/dark-web/scan/start,security/api/routers/reports_router.py,reports_dark_web_scan_start_post,True,post_mutation_keyword,True,execute|sql_mutation,False
POST,/api/reports/identity-theft/allow,app/security/api/routers/identity_theft_protection_router.py,allow_attempt,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/identity-theft/block,app/security/api/routers/identity_theft_protection_router.py,block_attempt,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/identity-theft/whitelist,app/security/api/routers/identity_theft_protection_router.py,add_to_whitelist,False,post_non_mutation_semantics,False,,False
POST,/api/reports/privacy/cleanup/start,app/security/api/routers/data_cleanup_router.py,start_cleanup,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/privacy/location/allow,app/security/api/routers/location_bubble_router.py,allow_location,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/privacy/location/block,app/security/api/routers/location_bubble_router.py,block_location,True,post_mutation_keyword,True,commit|execute|sql_mutation,False
POST,/api/reports/privacy/location/update-accuracy,app/security/api/routers/location_bubble_router.py,update_accuracy,True,post_mutation_keyword,False,,True
POST,/api/reports/privacy/tracker/whitelist,app/security/api/routers/anti_tracker_router.py,add_to_whitelist,False,post_non_mutation_semantics,True,commit|execute|sql_mutation,True
